username,anime_id,my_score,user_id,gender,title,type,source,score,scored_by,rank,popularity,genre,Duration,Rating,Members,Favorites,Completed,On-Hold,Dropped
PrinceRen,3092,9,54286,Male,Junjou Romantica,TV,Manga,7.99,86423,568,568,"Comedy, Drama, Romance, Shounen Ai",24 min. per ep.,PG-13 - Teens 13 or older,149528,1848,718161,71513,5038
brunomp,17729,8,4437072,Male,Grisaia no Kajitsu,TV,Visual novel,7.67,142135,1167,248,"Drama, Harem, Psychological, Romance, School",23 min. per ep.,PG-13 - Teens 13 or older,101495,1262,718161,71513,4215
Mukkashi,10163,8,1425283,Male,C: The Money of Soul and Possibility Control,TV,Original,7.38,101968,2101,386,"Action, Mystery, Super Power, Thriller",24 min. per ep.,PG-13 - Teens 13 or older,46018,333,718161,71513,11003
Mukkashi,13161,7,1425283,Male,Hagure Yuusha no Aesthetica,TV,Light novel,7.16,116406,2964,339,"Action, Super Power, Ecchi, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,53508,457,718161,712,1760
Rukawa,210,6,21970,Male,Ranma ½,TV,Manga,7.85,59911,802,623,"Slice of Life, Comedy, Martial Arts, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,259381,2704,718161,145,9992
Rukawa,11061,7,21970,Male,Hunter x Hunter (2011),TV,Manga,9.11,403377,8,35,"Action, Adventure, Super Power, Shounen",25 min. per ep.,PG-13 - Teens 13 or older,148259,571,718161,71513,4946
Rukawa,785,7,21970,Male,Otaku no Video,OVA,Other,7.19,8268,2865,2803,"Comedy, Drama, Historical, Magic, Mecha, Sci-Fi",24 min. per ep.,G - All Ages,12006,88,718161,47488,994
Rukawa,1240,7,21970,Male,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,Movie,Manga,7.63,15654,1265,2197,"Drama, Magic, Shoujo",21 min. per ep.,R - 17+ (violence & profanity),53189,535,718161,11901,3400
Rukawa,23259,6,21970,Male,Gundam: G no Reconguista,TV,Original,5.81,6711,7773,2686,"Action, Sci-Fi, Space, Mecha",23 min. per ep.,PG-13 - Teens 13 or older,20032,41,718161,712,1385
Rukawa,25879,9,21970,Male,Working!!!,TV,4-koma manga,8.14,66541,390,674,"Comedy, Romance, Slice of Life",25 min. per ep.,PG-13 - Teens 13 or older,48623,762,718161,1094,2974
Best-of-Anime,1686,10,1397853,Male,Bleach Movie 1: Memories of Nobody,Movie,Manga,7.55,116685,1485,455,"Action, Adventure, Super Power",24 min. per ep.,PG-13 - Teens 13 or older,32988,210,718161,712,1714
Best-of-Anime,10397,9,1397853,Male,Mashiro-iro Symphony: The Color of Lovers,TV,Visual novel,7.25,50413,2621,873,"Harem, Drama, Romance, School",30 min. per ep.,PG-13 - Teens 13 or older,11591,29,150183,749,159
jukugo,4896,7,16514,Male,Umineko no Naku Koro ni,TV,Visual novel,7.28,66053,2508,548,"Mystery, Horror, Psychological, Supernatural",23 min. per ep.,PG-13 - Teens 13 or older,62106,257,718161,11901,4492
jukugo,5079,6,16514,Male,Kurokami The Animation,TV,Manga,7.25,33478,2619,969,"Action, Martial Arts, Super Power",23 min. per ep.,PG-13 - Teens 13 or older,148259,107,718161,766,817
jukugo,206,6,16514,Male,Lodoss-tou Senki: Eiyuu Kishi Den,TV,Novel,7.22,7568,2728,2727,"Action, Adventure, Drama, Magic, Romance, Fantasy",25 min. per ep.,PG - Children,12222,50,718161,766,963
AgehaChan,6956,0,406417,Female,Working!!,TV,4-koma manga,7.79,126758,913,275,"Slice of Life, Comedy, Romance",14 min. per ep.,PG-13 - Teens 13 or older,7392,5,718161,243,568
#NAME?,11319,8,6923415,Male,Zero no Tsukaima F,TV,Light novel,7.71,140516,1096,301,"Adventure, Magic, Romance, Ecchi, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,20924,127,718161,71513,11057
Froschfan,3901,10,43988,Female,Baccano! Specials,Special,Light novel,8.24,77553,274,718,"Action, Mystery, Comedy, Historical, Supernatural",12 min. per ep.,PG-13 - Teens 13 or older,112001,1561,718161,71513,5164
Froschfan,351,7,43988,Female,Ojamajo Doremi Sharp,TV,Original,7.35,5396,2248,3606,"Comedy, Magic, Shoujo",25 min. per ep.,PG-13 - Teens 13 or older,148259,10,718161,712,352
Froschfan,1563,0,43988,Female,Magic Knight Rayearth II,TV,Manga,7.6,11642,1353,2536,"Adventure, Drama, Fantasy, Magic, Mecha, Romance, Shoujo",23 min. per ep.,PG-13 - Teens 13 or older,14603,35,718161,71513,667
Tsundora,3701,5,1084625,Male,Kaiba,TV,Original,8.24,23246,278,1072,"Adventure, Mystery, Romance, Sci-Fi",34 min. per ep.,PG-13 - Teens 13 or older,148259,35,150183,408,352
Tsundora,10271,6,1084625,Male,Gyakkyou Burai Kaiji: Hakairoku-hen,TV,Manga,8.28,46628,255,1009,"Game, Psychological, Thriller, Seinen",30 min. per ep.,PG-13 - Teens 13 or older,148259,5,150183,3124,120
FlashFrozen,32615,0,2171033,Male,Youjo Senki,TV,Light novel,8.14,129986,391,267,"Magic, Military",14 min. per ep.,PG-13 - Teens 13 or older,148259,48,718161,712,2625
FlashFrozen,33489,8,2171033,Male,Little Witch Academia (TV),TV,Original,8.13,95645,402,300,"Adventure, Comedy, Fantasy, Magic, School",24 min. per ep.,PG-13 - Teens 13 or older,420919,9504,718161,71513,16709
The_Lordian,21843,8,6188814,Male,Shingeki no Bahamut: Genesis,TV,Game,7.76,108754,974,306,"Action, Adventure, Demons, Fantasy, Magic, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,1151621,26564,718161,1094,38693
The_Lordian,32083,0,6188814,Male,Luck & Logic,TV,Card game,6.23,27068,6656,1177,"Action, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,90884,1823,718161,766,5484
namiSWN,5114,0,149817,Male,Fullmetal Alchemist: Brotherhood,TV,Manga,9.25,733592,1,4,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",23 min. per ep.,PG-13 - Teens 13 or older,96861,2277,718161,766,5964
namiSWN,3931,0,149817,Male,Initial D Battle Stage 2,OVA,Manga,7.73,7137,1040,3108,"Action, Cars, Sports, Drama, Seinen",30 min. per ep.,PG-13 - Teens 13 or older,15576,69,150183,3124,218
IoriYagami,30484,0,83582,Male,Steins;Gate 0,TV,Visual novel,9.15,26739,4,323,"Sci-Fi, Thriller",24 min. per ep.,PG-13 - Teens 13 or older,31358,22,718161,712,1485
Sirdante,6702,7,14013,Male,Fairy Tail,TV,Manga,8.08,423745,452,19,"Action, Adventure, Comedy, Magic, Fantasy, Shounen",24 min. per ep.,PG-13 - Teens 13 or older,148259,71,718161,712,1565
Sirdante,263,10,14013,Male,Hajime no Ippo,TV,Manga,8.8,116681,28,313,"Comedy, Sports, Drama, Shounen",25 min. per ep.,PG-13 - Teens 13 or older,148259,59,718161,11901,1182
lolbridget,32542,0,5341448,Female,Sakamoto desu ga?,TV,Manga,7.68,139124,1156,218,"Slice of Life, Comedy, School, Seinen",30 min. per ep.,PG-13 - Teens 13 or older,148259,23,150183,595,273
climhazzard03,4063,0,3895,Male,Sekirei,TV,Manga,7.32,128594,2359,291,"Action, Comedy, Ecchi, Harem, Super Power",23 min. per ep.,R - 17+ (violence & profanity),46228,833,718161,2628,3069
climhazzard03,90,7,3895,Male,Mobile Suit Gundam Wing,TV,Original,7.84,59894,817,845,"Action, Military, Sci-Fi, Space, Drama, Mecha",23 min. per ep.,PG-13 - Teens 13 or older,28277,116,718161,12737,1189
climhazzard03,23321,8,3895,Male,Log Horizon 2nd Season,TV,Novel,7.67,168702,1171,197,"Action, Adventure, Fantasy, Game, Magic",24 min. per ep.,PG-13 - Teens 13 or older,19393,51,718161,71513,519
climhazzard03,10715,8,3895,Male,Towa no Quon 4: Guren no Shoushin,Movie,Original,7.71,13228,1094,2444,"Action, Super Power, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,105139,911,718161,5945,7436
werlwend,7662,8,192396,Male,Shinrei Tantei Yakumo,TV,Novel,7.44,41283,1866,919,"Horror, Mystery, Shoujo, Supernatural",24 min. per ep.,R+ - Mild Nudity,106208,263,718161,145,5446
